city,icecream,income,u15
札幌市,7866,2701232.376,0.11717101
青森市,7573,2659590.603,0.125607639
盛岡市,7310,3039715.53,0.129952271
仙台市,7587,2894447.43,0.130816282
秋田市,7156,2943371.805,0.122292954
山形市,8842,3361737.226,0.131157471
福島市,7908,3173588.548,0.135807786
水戸市,8354,3374960.219,0.138939535
宇都宮市,9706,3613066.576,0.139559424
前橋市,7861,3426671.665,0.134811088
さいたま市,8497,4228224.3,0.136552157
千葉市,7992,3814275.931,0.128902655
横浜市,8385,4331651.86,0.131822153
川崎市,9399,4059243.66,0.13017849
相模原市,9161,3591092.228,0.130654009
新潟市,8235,3294305.505,0.127288918
富山市,10059,3700614.545,0.132412852
金沢市,9855,3401597.734,0.13465236
福井市,9443,3806930.118,0.135590489
甲府市,7978,3003956.348,0.127447335
長野市,8100,3473205.018,0.140462529
岐阜市,7332,3583924,0.134708667
静岡市,7403,3717758.333,0.127999698
浜松市,9854,3867396.201,0.139964738
名古屋市,8649,3725176.138,0.127939736
津市,8486,3543585.094,0.131116446
大津市,6856,3837150.126,0.146282661
京都市,9344,2910699.781,0.116070732
大阪市,7490,2548850.353,0.11559351
堺市,8239,3178467.718,0.139851253
神戸市,6728,3309115.612,0.126255019
奈良市,7644,3774295.857,0.125881432
和歌山市,7898,3043434.074,0.126197471
鳥取市,8758,2909961.282,0.13701766
松江市,6405,3160709.11,0.134464295
岡山市,7973,3164712.356,0.141174265
広島市,7731,3355077.849,0.142943307
山口市,7591,3069413.795,0.137543992
徳島市,8284,2942187.995,0.123966161
高松市,7622,3538389.827,0.138147338
北九州市,7406,2801936.762,0.129386822
福岡市,7327,2925223.87,0.131050328
佐賀市,8455,3100191.095,0.142152198
長崎市,8608,2674787.282,0.124653534
熊本市,8574,2950851.58,0.143517674
大分市,7592,3006276.758,0.143425144
宮崎市,7808,2688092.72,0.145602784
鹿児島市,9776,2707955.69,0.139335739
那覇市,6402,2526566.054,0.162260962
